Stage,Genotype,Rep,Sugars,RFOs,Oil,Protein
R8,Williams 82,2_1,1.927511868,4.208177026,20.30825541,37.85989386
R8,Williams 82,2_2,1.532260671,5.778168868,21.97730542,41.52641419
R8,Williams 82,2_3,0.889008573,2.535717647,19.160881,43.14310403
R8,FN300012,1_1,1.828047762,4.326538809,24.17093885,46.06993825
R8,FN300012,1_2,1.564648751,3.509741937,23.13847114,45.40143313
R8,FN300012,1_3,1.863816944,4.200842763,21.84869549,46.05890355
R8,FN300012,2_1,3.159523531,6.015812309,34.52689837,42.53057978
R8,FN300012,2_2,2.143447697,5.568834402,25.57521351,41.66408253
R8,FN300012,2_3,1.754086329,4.095925526,23.50157857,42.56200087
R8,FN301952,1_1,2.028947135,4.818199677,27.76260475,46.72273799
R8,FN301952,1_2,2.208700286,3.778055762,24.09641105,40.26935737
R8,FN301952,1_3,3.358504669,6.655929757,29.84107048,43.34666744
R8,FN301952,2_1,2.441676979,6.461369868,23.75277734,42.42977917
R8,FN301952,2_2,1.48665506,3.705295672,23.51375845,44.687812
R8,FN301952,2_3,1.777414754,3.77234272,21.01750874,47.16986242
